Satisfação,Gênero,Tipo de Cliente,Idade,Tipo de Viagem,Classe,Distância do Voo,Conforto do Banco,Tempo de Viagem,Comida e Bebida,Local do Portão,Serviço de Wifi no Voo,Entretenimento no Voo,Suporte Online,Facilidade na Reserva Online,Serviços a Bordo,Espaço para Pernas,Manuseio das Bagagens,Serviço de Checkin,Limpeza,Embarque Online,Atraso na Saída em minutos,Atraso na Chegada em minutos
Satisfeito,Mulher,Fiel,35,Pessoal,Econômica,3695,0,1,0,3,0,4,4,2,2,3,4,4,3,4,0,0
Satisfeito,Homem,Fiel,62,Pessoal,Econômica Plus,2948,0,1,0,3,5,0,5,5,4,1,2,2,2,5,34,19
Satisfeito,Mulher,Fiel,21,Pessoal,Econômica,2823,0,1,0,3,2,0,2,2,2,2,2,2,3,2,4,0
Satisfeito,Mulher,Fiel,20,Pessoal,Econômica,2485,0,1,0,3,2,0,2,2,2,3,3,4,3,2,0,0
Satisfeito,Mulher,Fiel,26,Pessoal,Econômica,2408,0,1,0,3,4,0,4,4,1,4,4,2,3,4,0,0
Satisfeito,Mulher,Fiel,20,Pessoal,Econômica,3009,0,1,0,3,4,0,3,4,1,2,3,1,4,4,0,0
Satisfeito,Mulher,Fiel,48,Pessoal,Econômica,1449,0,1,0,3,3,3,2,2,2,1,2,4,2,2,0,2
Satisfeito,Mulher,Fiel,10,Pessoal,Econômica,3209,0,1,0,3,4,0,4,4,4,3,3,1,4,4,0,0
Satisfeito,Homem,Fiel,57,Pessoal,Econômica,2840,0,1,0,3,4,0,4,4,2,4,2,4,3,4,0,0
Satisfeito,Homem,Fiel,25,Pessoal,Econômica,2534,0,1,0,3,2,0,2,2,3,5,2,1,4,2,0,0
Satisfeito,Mulher,Fiel,31,Pessoal,Econômica,2162,0,1,0,3,2,0,3,2,1,4,2,1,2,2,13,0
Satisfeito,Mulher,Fiel,22,Pessoal,Econômica,2352,0,1,0,3,3,0,3,3,2,1,2,2,3,3,0,0
Satisfeito,Mulher,Fiel,17,Pessoal,Econômica,2748,0,1,0,3,1,4,4,3,1,3,4,4,1,4,427,440
Satisfeito,Homem,Fiel,33,Pessoal,Econômica,2045,0,1,0,3,1,0,4,1,4,5,4,3,3,1,15,0
Satisfeito,Homem,Fiel,32,Pessoal,Econômica,2343,0,1,0,3,1,0,1,1,2,2,1,1,3,1,0,0
Satisfeito,Mulher,Fiel,60,Pessoal,Econômica,912,0,1,0,3,4,3,4,2,2,0,2,4,2,1,10,2
Satisfeito,Mulher,Fiel,38,Pessoal,Econômica Plus,2139,0,1,0,3,5,0,5,5,3,5,3,3,2,5,0,0
Satisfeito,Mulher,Fiel,29,Pessoal,Econômica,1918,0,1,0,3,5,0,5,5,1,3,3,3,4,5,16,5
Satisfeito,Homem,Fiel,42,Pessoal,Econômica,2311,0,1,0,3,1,0,1,1,1,4,3,2,3,1,0,0
Satisfeito,Mulher,Fiel,31,Pessoal,Executiva,1599,0,1,0,3,2,0,2,2,4,2,3,3,3,2,10,0
Satisfeito,Homem,Fiel,34,Pessoal,Econômica,1816,0,1,0,3,4,0,4,4,1,1,2,3,2,4,0,0
Satisfeito,Homem,Fiel,24,Pessoal,Econômica,1826,0,1,0,3,3,0,2,3,2,2,3,4,3,3,0,0
Satisfeito,Homem,Fiel,56,Pessoal,Executiva,715,0,1,0,3,2,4,4,4,4,0,4,4,4,3,0,0
Satisfeito,Homem,Fiel,13,Pessoal,Econômica,2306,0,1,0,3,4,0,3,4,4,2,3,2,2,4,0,0
Satisfeito,Mulher,Fiel,26,Pessoal,Econômica,1846,0,1,0,3,3,0,1,3,3,2,4,1,3,3,0,0
Satisfeito,Mulher,Fiel,25,Pessoal,Econômica,1783,0,1,0,3,2,0,2,2,1,4,4,4,3,2,0,0
Satisfeito,Homem,Fiel,30,Pessoal,Econômica,1826,0,1,0,3,5,0,5,5,4,4,3,3,3,5,0,0
Satisfeito,Mulher,Fiel,22,Pessoal,Econômica,1542,0,1,0,3,2,0,2,2,2,2,3,1,3,2,0,0
Satisfeito,Mulher,Fiel,65,Pessoal,Econômica,423,0,1,0,3,4,4,3,2,2,0,1,3,2,4,0,0
Satisfeito,Homem,Fiel,24,Pessoal,Econômica,1473,0,1,0,3,5,0,5,5,1,1,4,4,3,5,11,1
Satisfeito,Homem,Fiel,37,Pessoal,Econômica Plus,1887,0,1,0,3,1,0,1,1,2,5,3,1,3,1,0,0
Satisfeito,Homem,Fiel,34,Pessoal,Econômica,1952,0,1,0,3,2,0,2,2,3,4,4,4,4,2,10,0
Satisfeito,Mulher,Fiel,7,Pessoal,Econômica,1598,0,1,0,3,3,0,3,3,2,2,4,3,4,3,0,0
Satisfeito,Mulher,Fiel,39,Pessoal,Econômica,1830,0,1,0,3,2,0,2,2,3,4,3,2,3,2,0,0
Satisfeito,Mulher,Fiel,11,Pessoal,Econômica,1761,0,1,0,3,3,0,3,3,1,2,3,2,3,3,0,0
Satisfeito,Mulher,Fiel,52,Pessoal,Econômica,332,0,1,0,3,5,4,3,3,3,0,3,4,3,4,0,0
Satisfeito,Homem,Fiel,24,Pessoal,Executiva,1303,0,1,0,3,4,0,4,4,2,3,3,1,4,4,5,0
Satisfeito,Homem,Fiel,10,Pessoal,Econômica,1624,0,1,0,3,1,0,1,1,3,1,4,1,3,1,0,0
Satisfeito,Homem,Fiel,52,Pessoal,Econômica,1744,0,1,0,3,2,0,2,2,1,5,2,2,3,2,0,7
Satisfeito,Homem,Fiel,60,Pessoal,Econômica,868,0,1,0,3,3,0,3,3,4,1,3,2,4,3,0,0
Satisfeito,Mulher,Fiel,49,Pessoal,Econômica Plus,2497,0,1,0,4,1,2,4,2,2,0,2,3,2,2,9,0
Satisfeito,Mulher,Fiel,8,Pessoal,Econômica,2869,0,1,0,4,4,0,4,4,2,1,3,3,4,4,1,0
Satisfeito,Mulher,Fiel,40,Pessoal,Econômica,3516,0,1,0,4,1,0,1,1,3,1,4,2,4,1,0,0
Satisfeito,Mulher,Fiel,33,Pessoal,Econômica,2891,0,1,0,4,1,0,1,1,4,4,4,2,4,1,0,0
Satisfeito,Homem,Fiel,8,Pessoal,Econômica,2457,0,1,0,4,3,0,3,3,3,5,2,4,4,3,0,0
Satisfeito,Homem,Fiel,49,Pessoal,Econômica,1911,0,1,0,4,2,0,1,2,1,1,3,1,4,2,0,0
Satisfeito,Homem,Fiel,38,Pessoal,Econômica,2498,0,1,0,4,5,0,2,5,4,2,3,2,4,5,0,1
Satisfeito,Homem,Fiel,49,Pessoal,Econômica,2316,0,1,0,4,2,0,2,2,3,5,4,3,4,2,1,0
Satisfeito,Homem,Fiel,21,Pessoal,Econômica,2095,0,1,0,4,4,0,4,4,1,4,3,4,4,4,0,0
Satisfeito,Mulher,Fiel,13,Pessoal,Econômica,1755,0,1,0,4,5,0,5,5,3,1,4,2,4,5,15,8
Satisfeito,Homem,Fiel,70,Pessoal,Econômica,1650,0,1,0,4,4,0,4,4,1,4,4,4,4,4,19,45
Satisfeito,Mulher,Fiel,45,Pessoal,Econômica,488,0,1,0,4,1,4,3,5,5,0,5,2,5,1,0,0
Satisfeito,Mulher,Fiel,67,Pessoal,Econômica,465,0,1,0,4,2,3,4,4,4,0,2,1,4,3,35,69
Satisfeito,Mulher,Fiel,59,Pessoal,Econômica,474,0,1,0,4,4,3,3,3,3,0,3,1,3,1,0,0
Satisfeito,Homem,Fiel,48,Pessoal,Executiva,374,0,1,0,4,2,3,3,5,5,0,1,3,5,3,14,13
Satisfeito,Mulher,Fiel,44,Pessoal,Econômica,365,0,1,0,4,3,4,3,5,5,0,5,4,5,3,0,0
Satisfeito,Mulher,Fiel,52,Pessoal,Econômica,351,0,1,0,4,4,3,4,5,5,0,5,3,5,4,0,0
Satisfeito,Mulher,Fiel,9,Pessoal,Econômica,2175,0,1,0,4,5,0,4,5,4,2,3,2,4,5,0,3
Satisfeito,Homem,Fiel,69,Pessoal,Econômica,1428,0,1,0,4,4,0,4,4,4,4,3,2,3,4,0,0
Satisfeito,Homem,Fiel,51,Pessoal,Econômica,986,0,1,0,4,5,0,5,5,1,5,3,1,3,5,2,12
Satisfeito,Homem,Fiel,9,Pessoal,Econômica,1628,0,1,0,4,3,0,4,3,3,2,3,1,4,3,0,0
Satisfeito,Homem,Fiel,40,Pessoal,Econômica,4161,0,1,1,1,1,4,4,4,4,1,2,4,3,4,0,0
Satisfeito,Mulher,Fiel,33,Pessoal,Econômica,3505,0,1,1,2,2,1,2,2,3,5,3,4,2,2,0,0
Satisfeito,Mulher,Fiel,18,Pessoal,Econômica,1948,0,1,1,3,2,1,2,2,3,2,2,1,2,2,15,10
Satisfeito,Mulher,Fiel,23,Pessoal,Econômica Plus,1546,0,2,0,1,5,0,5,5,3,3,5,5,5,5,0,2
Satisfeito,Homem,Fiel,49,Pessoal,Econômica Plus,2044,0,2,0,2,2,0,2,2,2,4,3,4,3,2,0,0
Satisfeito,Homem,Fiel,39,Pessoal,Econômica Plus,2554,0,2,0,2,5,2,5,5,1,1,3,3,2,5,0,0
Satisfeito,Homem,Fiel,37,Pessoal,Econômica,2387,0,2,0,2,1,0,1,1,3,3,2,3,2,1,0,0
Satisfeito,Mulher,Fiel,12,Pessoal,Econômica,2152,0,2,0,2,2,0,2,2,2,5,1,4,1,2,0,0
Satisfeito,Homem,Fiel,64,Pessoal,Econômica,2141,0,2,0,2,4,0,2,4,2,2,3,2,2,4,6,1
Satisfeito,Homem,Fiel,46,Pessoal,Econômica Plus,1068,0,2,0,2,4,0,4,4,2,5,3,2,2,4,0,0
Satisfeito,Homem,Fiel,38,Pessoal,Econômica,1913,0,2,0,2,2,0,2,2,4,5,3,3,2,2,0,6
Satisfeito,Mulher,Fiel,38,Pessoal,Econômica,897,0,2,0,2,2,0,3,2,1,1,1,2,3,2,6,0
Satisfeito,Mulher,Fiel,25,Pessoal,Econômica,3248,0,2,0,3,2,0,2,2,4,3,3,1,4,2,0,0
Satisfeito,Mulher,Fiel,13,Pessoal,Econômica Plus,3842,0,2,0,3,3,0,2,3,1,2,1,1,2,3,0,0
Satisfeito,Homem,Fiel,20,Pessoal,Econômica,3865,0,2,0,3,0,5,5,2,5,3,3,5,2,5,0,0
Satisfeito,Mulher,Fiel,64,Pessoal,Econômica,2441,0,2,0,3,0,3,3,1,2,4,4,3,2,3,0,0
Satisfeito,Homem,Fiel,41,Pessoal,Econômica,3332,0,2,0,3,4,0,4,4,3,5,3,1,3,4,0,0
Satisfeito,Homem,Fiel,10,Pessoal,Executiva,3432,0,2,0,3,4,0,4,4,1,4,3,1,4,4,1,0
Satisfeito,Mulher,Fiel,21,Pessoal,Econômica Plus,3799,0,2,0,3,5,2,5,5,3,1,3,2,4,5,27,8
Satisfeito,Homem,Fiel,54,Pessoal,Econômica,3504,0,2,0,3,4,0,4,4,1,5,3,4,4,4,0,0
Satisfeito,Mulher,Fiel,46,Pessoal,Econômica Plus,1620,0,2,0,3,3,3,3,4,4,0,4,4,4,1,5,0
Satisfeito,Mulher,Fiel,27,Pessoal,Econômica,3024,0,2,0,3,1,0,1,1,1,1,2,3,3,1,0,0
Satisfeito,Homem,Fiel,67,Pessoal,Econômica,2532,0,2,0,3,2,0,2,2,4,3,3,3,4,2,0,0
Satisfeito,Homem,Fiel,58,Pessoal,Econômica,2759,0,2,0,3,2,0,2,2,1,3,2,3,3,2,10,0
Satisfeito,Mulher,Fiel,9,Pessoal,Econômica,2734,0,2,0,3,3,0,3,3,1,1,2,3,3,3,0,0
Satisfeito,Homem,Fiel,45,Pessoal,Executiva,1237,0,2,0,3,4,3,3,1,1,0,1,4,1,1,20,15
Satisfeito,Homem,Fiel,57,Pessoal,Executiva,1165,0,2,0,3,5,4,4,2,2,0,3,2,2,3,0,0
Satisfeito,Mulher,Fiel,63,Pessoal,Econômica,1109,0,2,0,3,3,3,3,4,4,0,4,1,4,1,0,0
Satisfeito,Mulher,Fiel,16,Pessoal,Econômica,2157,0,2,0,3,3,0,3,3,1,3,3,4,2,3,0,0
Satisfeito,Homem,Fiel,10,Pessoal,Econômica,1863,0,2,0,3,4,0,4,4,1,3,4,2,3,4,0,0
Satisfeito,Homem,Fiel,17,Pessoal,Econômica,2410,0,2,0,3,1,0,1,1,4,5,3,1,4,1,0,0
Satisfeito,Mulher,Fiel,33,Pessoal,Econômica Plus,2359,0,2,0,3,3,0,4,3,2,1,4,4,4,3,0,0
Satisfeito,Homem,Fiel,70,Pessoal,Econômica,1686,0,2,0,3,1,0,1,1,3,1,2,3,2,1,0,0
Satisfeito,Mulher,Fiel,45,Pessoal,Econômica,673,0,2,0,3,1,2,3,3,3,0,3,1,3,2,3,1
Satisfeito,Mulher,Fiel,32,Pessoal,Econômica,1657,0,2,0,3,2,0,2,2,2,2,4,4,4,2,0,3
Satisfeito,Homem,Fiel,65,Pessoal,Executiva,651,0,2,0,3,3,4,4,3,3,0,3,1,3,2,0,0
Satisfeito,Mulher,Fiel,65,Pessoal,Econômica,614,0,2,0,3,4,5,5,2,2,0,2,4,2,3,90,80
Satisfeito,Mulher,Fiel,20,Pessoal,Econômica,1894,0,2,0,3,1,2,1,1,2,3,4,1,4,1,0,3
Satisfeito,Homem,Fiel,17,Pessoal,Econômica Plus,1911,0,2,0,3,5,0,5,5,2,5,2,1,2,5,0,0
Satisfeito,Mulher,Fiel,30,Pessoal,Econômica,1647,0,2,0,3,3,0,3,3,3,1,4,3,4,3,3,0
Satisfeito,Homem,Fiel,24,Pessoal,Econômica,1856,0,2,0,3,5,0,3,5,2,5,4,2,3,5,1,0
Satisfeito,Mulher,Fiel,39,Pessoal,Econômica,1642,0,2,0,3,5,0,5,5,3,3,4,3,3,5,0,0
Satisfeito,Mulher,Fiel,33,Pessoal,Econômica,1949,0,2,0,3,5,0,2,5,3,2,4,3,3,5,0,0
Satisfeito,Mulher,Fiel,64,Pessoal,Econômica,419,0,2,0,3,3,4,3,1,1,0,1,3,1,1,0,0
Satisfeito,Mulher,Fiel,37,Pessoal,Econômica,1571,0,2,0,3,3,0,3,3,3,5,4,4,4,3,0,0
Satisfeito,Homem,Fiel,61,Pessoal,Econômica,1119,0,2,0,3,3,0,3,3,2,1,4,3,4,3,2,0
Satisfeito,Homem,Fiel,60,Pessoal,Econômica,1190,0,2,0,3,1,0,1,1,1,5,3,2,3,1,0,0
Satisfeito,Mulher,Fiel,28,Pessoal,Econômica,1844,0,2,0,3,4,0,4,4,2,5,4,3,3,4,1,0
Satisfeito,Homem,Fiel,26,Pessoal,Econômica,959,0,2,0,3,3,0,3,3,3,4,3,2,4,3,0,0
Satisfeito,Mulher,Fiel,41,Pessoal,Econômica,2109,0,2,0,3,5,0,5,5,2,5,4,1,4,5,0,0
Satisfeito,Mulher,Fiel,57,Pessoal,Econômica,317,0,2,0,3,5,2,3,1,1,0,1,4,1,4,0,0
Satisfeito,Homem,Fiel,47,Pessoal,Econômica,1977,0,2,0,3,2,0,2,2,2,2,2,4,2,2,0,0
Satisfeito,Mulher,Fiel,61,Pessoal,Econômica,291,0,2,0,3,1,3,4,2,2,0,2,1,2,1,0,2
Satisfeito,Mulher,Fiel,29,Pessoal,Econômica,1820,0,2,0,3,1,0,1,1,2,1,3,1,3,1,0,0
Satisfeito,Homem,Fiel,67,Pessoal,Econômica,1721,0,2,0,3,5,0,5,5,4,1,3,3,4,5,9,0
Satisfeito,Mulher,Fiel,21,Pessoal,Econômica,4804,0,2,0,4,5,0,5,5,4,1,4,2,3,5,20,
Satisfeito,Homem,Fiel,26,Pessoal,Econômica,3466,0,2,0,4,2,0,2,2,3,1,3,2,4,2,0,0
Satisfeito,Homem,Fiel,30,Pessoal,Econômica,2825,0,2,0,4,1,0,1,1,4,1,2,2,3,1,0,0
Satisfeito,Homem,Fiel,36,Pessoal,Econômica,2561,0,2,0,4,2,0,2,2,2,2,2,4,4,2,0,0
Satisfeito,Homem,Fiel,49,Pessoal,Econômica,2762,0,2,0,4,2,0,4,2,4,1,4,3,4,2,0,15
Satisfeito,Mulher,Fiel,49,Pessoal,Econômica,1184,0,2,0,4,1,2,4,3,3,2,3,2,3,2,12,0
Satisfeito,Mulher,Fiel,48,Pessoal,Econômica,1066,0,2,0,4,5,4,4,2,2,0,2,3,2,1,14,7
Satisfeito,Mulher,Fiel,17,Pessoal,Econômica,1740,0,2,0,4,3,0,3,3,4,3,3,2,4,3,0,0
Satisfeito,Mulher,Fiel,10,Pessoal,Econômica,1970,0,2,0,4,3,0,3,3,1,3,4,4,3,3,0,0
Satisfeito,Mulher,Fiel,55,Pessoal,Econômica,994,0,2,0,4,2,4,3,3,3,0,3,1,3,3,68,80
Satisfeito,Homem,Fiel,48,Pessoal,Econômica Plus,2391,0,2,0,4,1,0,1,1,3,1,3,3,4,1,0,0
Satisfeito,Homem,Fiel,58,Pessoal,Econômica,2032,0,2,0,4,4,0,4,4,3,5,2,2,4,4,0,0
Satisfeito,Mulher,Fiel,50,Pessoal,Econômica,726,0,2,0,4,3,3,4,5,5,0,5,2,5,2,0,1
Satisfeito,Homem,Fiel,31,Pessoal,Econômica,2206,0,2,0,4,4,0,4,4,1,1,2,4,3,4,0,0
Satisfeito,Mulher,Fiel,25,Pessoal,Econômica,2268,0,2,0,4,2,2,2,2,4,3,3,2,4,2,0,3
Satisfeito,Homem,Fiel,29,Pessoal,Econômica,1743,0,2,0,4,5,0,5,5,3,2,4,4,4,5,0,0
Satisfeito,Mulher,Fiel,68,Pessoal,Executiva,503,0,2,0,4,5,3,3,4,4,0,4,1,4,2,0,0
Satisfeito,Mulher,Fiel,48,Pessoal,Econômica,457,0,2,0,4,5,4,4,4,4,0,4,4,4,3,0,0
Satisfeito,Homem,Fiel,54,Pessoal,Econômica,1200,0,2,0,4,4,0,4,4,4,1,3,4,4,4,0,0
Satisfeito,Homem,Fiel,68,Pessoal,Econômica,1732,0,2,0,4,4,0,4,4,3,2,3,2,3,4,0,0
Satisfeito,Mulher,Fiel,63,Pessoal,Executiva,296,0,2,0,4,1,4,3,1,1,0,1,3,1,1,0,0
Satisfeito,Mulher,Fiel,28,Pessoal,Econômica,2096,0,2,0,4,4,0,4,4,3,1,4,3,3,4,1,0
Satisfeito,Mulher,Fiel,63,Pessoal,Econômica,231,0,2,0,4,2,4,3,4,4,0,5,4,4,2,0,0
Satisfeito,Mulher,Fiel,26,Pessoal,Econômica,1636,0,2,0,4,5,0,5,5,2,5,3,4,3,5,0,0
Satisfeito,Mulher,Fiel,11,Pessoal,Econômica Plus,1394,0,2,0,4,3,0,3,3,2,1,3,2,4,3,0,0
Satisfeito,Mulher,Fiel,16,Pessoal,Econômica,1399,0,2,0,4,5,0,5,5,2,1,3,1,3,5,0,0
Satisfeito,Homem,Fiel,49,Pessoal,Econômica,1282,0,2,0,4,2,0,2,2,1,2,4,2,4,2,0,0
Satisfeito,Homem,Fiel,17,Pessoal,Econômica,2008,0,2,0,4,2,0,2,2,4,4,3,1,4,2,0,0
Satisfeito,Mulher,Fiel,62,Pessoal,Econômica,832,0,2,1,2,1,2,3,2,2,1,2,4,2,3,0,0
Satisfeito,Mulher,Fiel,18,Pessoal,Econômica,2441,0,2,1,4,1,1,1,1,2,2,2,2,3,1,13,4
Satisfeito,Homem,Fiel,24,Pessoal,Econômica,3219,0,3,0,1,3,0,3,3,4,2,5,5,5,3,93,86
Satisfeito,Homem,Fiel,12,Pessoal,Econômica,2794,0,3,0,1,3,0,3,3,3,2,4,2,2,3,14,1
Satisfeito,Mulher,Fiel,39,Pessoal,Econômica,2274,0,3,0,1,2,0,1,2,5,2,1,2,2,2,0,0
Satisfeito,Homem,Fiel,46,Pessoal,Econômica,2179,0,3,0,1,5,0,3,5,1,5,1,3,2,5,0,0
Satisfeito,Homem,Fiel,55,Pessoal,Econômica,1656,0,3,0,1,4,0,4,4,3,1,3,3,3,4,0,0
Satisfeito,Mulher,Fiel,18,Pessoal,Econômica,2411,0,3,0,1,3,0,5,3,2,3,4,2,1,3,0,0
Satisfeito,Homem,Fiel,7,Pessoal,Econômica,1817,0,3,0,1,1,0,1,1,1,2,2,1,3,1,1,5
Satisfeito,Homem,Fiel,13,Pessoal,Econômica,1644,0,3,0,1,2,0,2,2,2,1,3,5,1,2,0,0
Satisfeito,Homem,Fiel,62,Pessoal,Econômica,1595,0,3,0,1,1,0,1,1,1,3,5,5,2,1,0,0
Satisfeito,Mulher,Fiel,49,Pessoal,Econômica,427,0,3,0,1,2,4,3,1,1,0,1,2,1,3,0,0
Satisfeito,Mulher,Fiel,36,Pessoal,Econômica,1713,0,3,0,1,1,0,4,1,2,5,1,3,4,1,0,0
Satisfeito,Homem,Fiel,44,Pessoal,Econômica Plus,2680,0,3,0,2,1,0,1,1,5,5,1,2,1,1,7,0
Satisfeito,Mulher,Fiel,27,Pessoal,Econômica,2743,0,3,0,2,4,0,4,4,1,2,2,4,3,4,0,2
Satisfeito,Mulher,Fiel,9,Pessoal,Econômica,1900,0,3,0,2,4,0,4,4,2,1,3,1,3,4,0,0
Satisfeito,Homem,Fiel,51,Pessoal,Econômica,2719,0,3,0,2,3,0,3,3,3,3,2,2,2,3,29,13
Satisfeito,Mulher,Fiel,27,Pessoal,Econômica,1866,0,3,0,2,2,0,2,2,3,3,3,2,3,2,0,0
Satisfeito,Mulher,Fiel,47,Pessoal,Econômica,706,0,3,0,2,2,3,5,2,2,0,2,1,2,4,0,0
Satisfeito,Mulher,Fiel,48,Pessoal,Econômica,538,0,3,0,2,3,2,2,5,5,0,5,1,5,3,66,57
Satisfeito,Homem,Fiel,15,Pessoal,Executiva,1583,0,3,0,2,2,0,2,2,4,4,2,4,3,2,0,0
Satisfeito,Mulher,Fiel,7,Pessoal,Econômica,1890,0,3,0,2,1,0,1,1,2,2,5,1,2,1,0,0
Satisfeito,Homem,Fiel,62,Pessoal,Econômica,1008,0,3,0,2,3,0,3,3,1,4,4,2,1,3,0,2
Satisfeito,Mulher,Fiel,42,Pessoal,Econômica,2768,0,3,0,3,5,5,5,5,5,0,5,3,5,3,0,0
Satisfeito,Mulher,Fiel,64,Pessoal,Econômica,2573,0,3,0,3,4,3,4,2,2,0,2,2,2,3,0,0
Satisfeito,Homem,Fiel,53,Pessoal,Executiva,2522,0,3,0,3,2,4,4,3,3,3,3,3,3,1,0,3
Satisfeito,Mulher,Fiel,42,Pessoal,Executiva,1794,0,3,0,3,5,3,4,4,4,0,4,3,4,3,10,0
Satisfeito,Mulher,Fiel,22,Pessoal,Econômica,2676,0,3,0,3,3,0,3,3,2,3,1,3,1,3,12,5
Satisfeito,Homem,Fiel,19,Pessoal,Econômica,3109,0,3,0,3,4,0,4,4,2,2,4,3,4,4,0,0
Satisfeito,Homem,Fiel,28,Pessoal,Econômica Plus,2035,0,3,0,3,1,0,4,1,2,1,3,3,3,1,7,0
Satisfeito,Mulher,Fiel,61,Pessoal,Econômica,1076,0,3,0,3,2,3,2,4,4,0,4,4,4,5,0,3
Satisfeito,Mulher,Fiel,62,Pessoal,Econômica,953,0,3,0,3,1,2,1,3,3,0,3,4,3,3,0,0
Satisfeito,Homem,Fiel,23,Pessoal,Econômica,2858,0,3,0,3,5,0,5,5,3,3,4,4,3,5,0,14
Satisfeito,Homem,Fiel,34,Pessoal,Econômica,2139,0,3,0,3,1,0,1,1,1,3,3,1,4,1,0,0
